date,recovered
20200229,0
20200301,0
20200302,0
20200303,0
20200304,0
20200305,0
20200306,0
20200307,0
20200308,0
20200309,0
20200310,0
20200311,0
20200312,0
20200313,0
20200314,0
20200315,0
20200316,0
20200317,0
20200318,0
20200319,6
20200320,6
20200321,6
20200322,6
20200323,6
20200324,6
20200325,6
20200326,6
20200327,40
20200328,40
20200329,40
20200330,40
20200331,40
20200401,40
20200402,40
20200403,460
20200404,460
20200405,460
20200406,460
20200407,460
20200408,460
20200409,500
